#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2008.000     CO-1.66     1.66000  9.1922E-05  3.8712E-18      1.6605  4.1808E-14      1.6647  4.2420E-14
  2014.920     CO-1.66     1.66000  9.1119E-05  2.9801E-18      1.6603  3.2549E-14      1.6645  3.2862E-14
  2014.960     CO-1.66     1.66000  8.4107E-05  2.6660E-18      1.6603  3.1549E-14      1.6645  3.1845E-14
  2012.000     CO-1.66     1.66000  8.2358E-05  2.4710E-17      1.6601  2.9731E-13      1.6643  3.0274E-13
  2006.000     CO-1.66     1.66000  8.1388E-05  3.7992E-18      1.6606  4.6415E-14      1.6650  4.6945E-14
#       yes
  2008.000   Al-I_1.67     1.67400  0.00034942  1.4659E-17      1.6708  4.1616E-14      1.6785  4.2292E-14
  2014.920   Al-I_1.67     1.67400  0.00034837  1.1417E-17      1.6706  3.2546E-14      1.6781  3.2999E-14
  2014.960   Al-I_1.67     1.67400  0.00041397  1.3274E-17      1.6708  3.2049E-14      1.6783  3.2078E-14
  2012.000   Al-I_1.67     1.67400  0.00036052  1.0767E-16      1.6703  2.9845E-13      1.6779  2.9888E-13
  2006.000   Al-I_1.67     1.67400  0.00039035  1.8174E-17      1.6710  4.6241E-14      1.6785  4.6877E-14
#       yes
  2008.000    dip-1.70     1.70750  8.8747E-05  3.5212E-18      1.7063  3.9863E-14      1.7093  3.9490E-14
  2014.920    dip-1.70     1.70750  6.7876E-05  2.1373E-18      1.7062  3.1635E-14      1.7093  3.1342E-14
  2014.960    dip-1.70     1.70750  9.4113E-05  2.9334E-18      1.7063  3.0977E-14      1.7091  3.1361E-14
  2012.000    dip-1.70     1.70750  6.9737E-05  2.0450E-17      1.7060  2.9434E-13      1.7088  2.9215E-13
  2006.000    dip-1.70     1.70750  8.5416E-05  3.7184E-18      1.7067  4.3558E-14      1.7097  4.3507E-14
#       yes
  2008.000     Mg-1.71     1.71150  0.00026941  1.0639E-17      1.7093  3.9490E-14      1.7133  3.9490E-14
  2014.920     Mg-1.71     1.71150  0.00023183  7.2702E-18      1.7093  3.1324E-14      1.7131  3.1397E-14
  2014.960     Mg-1.71     1.71150  0.00026456  8.2292E-18      1.7091  3.1342E-14      1.7132  3.0867E-14
  2012.000     Mg-1.71     1.71150  0.00025189  7.3957E-17      1.7088  2.9215E-13      1.7127  2.9507E-13
  2006.000     Mg-1.71     1.71150  0.00028571  1.2397E-17      1.7097  4.3456E-14      1.7135  4.3328E-14
#       yes
  2008.000     Ca-1.98     1.98200  0.00087157  2.3091E-17      1.9752  2.6592E-14      1.9892  2.6394E-14
  2014.920     Ca-1.98     1.98200  0.00079775  1.9802E-17      1.9748  2.5087E-14      1.9886  2.4557E-14
  2014.960     Ca-1.98     1.98200  0.00079577  1.9891E-17      1.9750  2.5087E-14      1.9895  2.4904E-14
