JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457822.63042,14.952,0.042,,V,HBB,,000-BKF-955,000-BKF-957,X17325NV,|VMAGINS=14.849|VERR=0.038|K1=0.2140|K1ERR=0.0000|CREFMAG=13.052|CREFERR=0.010|KREFMAG=14.179|KREFERR=0.030|VX=1.8595|CX=1.8657|KX=1.8600|TV_BV=0.0190|TV_BVERR=0.0500|TAVER=2.48,1,1.859,Z,12.957,14.118,,AA TAU,,STD,104,,,
2457822.64860,15.017,0.040,,V,WRCA,,ENSEMBLE,122,13598BNA,,0,1.326,Z,,12.223,,AA TAU,AAVSO,STD,,,,
2457823.29634,15.022,0.036,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.22,Z,18.821,19.060,,AA TAU,VVS,STD,,,,
2457823.29712,15.034,0.036,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.22,Z,18.763,19.022,,AA TAU,VVS,STD,,,,
2457823.29800,16.117,0.110,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.22,Z,20.456,20.683,,AA TAU,VVS,STD,,,,
2457823.29877,16.128,0.121,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.22,Z,20.485,20.677,,AA TAU,VVS,STD,,,,
2457823.29947,13.851,0.023,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.22,Z,18.629,18.902,,AA TAU,VVS,STD,,,,
2457823.29990,13.847,0.024,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.23,Z,18.656,18.871,,AA TAU,VVS,STD,,,,
2457826.31463,14.701,0.039,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.30,Z,19.226,19.437,,AA TAU,VVS,STD,,,,
2457826.31541,14.669,0.044,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.30,Z,19.242,19.530,,AA TAU,VVS,STD,,,,
