  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag    v_mag  snr   mg8807ew  mg_8807_flux  mg8807co  mg_8807_wave  fe8689ew  fe_8689_flux  fe8689co  fe_8689_wave   K7700ew   K_7700_flux  K7700con   K_7700_wave   K7326ew   K_7326_flux  K7326con   K_7326_wave   K7016ew   K_7016_flux  K7016con   K_7016_wave  Li6708ew  Li_6708_flux  Li6708co  Li_6708_wave  bl6500ew  bl_6500_flux  bl6500co  bl_6500_wave  ca6122ew  ca_6122_flux  ca6122co  ca_6122_wave  un5660ew  un_5660_flux  un5660co  un_5660_wave  un5270ew  un_5270_flux  un5270co  un_5270_wave
 20         1047963i.fits  54815.3906  2008  12  15    4.753224  -1.692    13.01  63.0  0.047687    0.00248080  0.052022  880.72998047  0.048617    0.00236482  0.002365  868.90002441  0.056215    0.00220846  0.039286  769.94000244  0.030432    0.00110240  0.036225  732.65002441  0.024309    0.00083249  0.034246  701.66998291  0.056199    0.00163164  0.029033  670.83502197  0.138549    0.00428868  0.030954  649.79998779  0.085936    0.00248309  0.028895  612.25000000  0.094063    0.00247694  0.026333  566.05999756  0.452707    0.01037790  0.022924  526.84997559
 21         1047964i.fits  54815.4062  2008  12  15    5.446258  -1.840    12.87  67.0  0.047116    0.00280355  0.059503  880.72998047  0.047636    0.00264292  0.002643  868.90002441  0.055494    0.00249931  0.045038  769.94000244  0.030316    0.00125990  0.041559  732.65002441  0.024705    0.00097047  0.039282  701.66998291  0.055629    0.00186125  0.033458  670.83502197  0.137620    0.00490041  0.035608  649.79998779  0.087102    0.00290349  0.033334  612.25000000  0.090398    0.00272756  0.030173  566.05999756  0.455340    0.01209466  0.026562  526.84997559
 22         1047965i.fits  54815.4219  2008  12  15    5.586279  -1.868    12.84  68.0  0.047641    0.00289646  0.060798  880.72998047  0.047613    0.00270055  0.002701  868.90002441  0.055416    0.00255616  0.046127  769.94000244  0.030377    0.00129496  0.042629  732.65002441  0.024948    0.00100973  0.040473  701.66998291  0.056493    0.00194823  0.034486  670.83502197  0.138337    0.00507437  0.036681  649.79998779  0.086239    0.00294787  0.034183  612.25000000  0.090722    0.00281947  0.031078  566.05999756  0.460000    0.01265805  0.027518  526.84997559
 23         1047966i.fits  54815.4375  2008  12  15    5.280640  -1.807    12.92  66.0  0.047383    0.00273687  0.057761  880.72998047  0.047732    0.00257331  0.002573  868.90002441  0.054894    0.00237870  0.043333  769.94000244  0.030675    0.00123676  0.040318  732.65002441  0.025070    0.00095689  0.038168  701.66998291  0.056617    0.00183286  0.032373  670.83502197  0.137462    0.00472008  0.034337  649.79998779  0.086390    0.00276957  0.032059  612.25000000  0.089157    0.00256921  0.028817  566.05999756  0.458677    0.01186991  0.025879  526.84997559
 24         1048131i.fits  54816.3750  2008  12  16    2.525863  -1.006    13.61  47.0  0.045285    0.00126084  0.027842  880.72998047  0.044920    0.00115448  0.001154  868.90002441  0.053500    0.00112350  0.021000  769.94000244  0.029666    0.00056829  0.019156  732.65002441  0.024738    0.00045039  0.018206  701.66998291  0.054283    0.00085800  0.015806  670.83502197  0.131805    0.00217509  0.016502  649.79998779  0.085299    0.00131972  0.015472  612.25000000  0.082846    0.00115711  0.013967  566.05999756  0.441046    0.00549237  0.012453  526.84997559
 25         1048132i.fits  54816.3906  2008  12  16    1.281211  -0.269    14.25  33.0  0.044478    0.00062426  0.014035  880.72998047  0.047169    0.00062651  0.000627  868.90002441  0.052366    0.00055632  0.010624  769.94000244  0.028976    0.00027963  0.009651  732.65002441  0.024039    0.00022138  0.009209  701.66998291  0.053803    0.00042823  0.007959  670.83502197  0.130489    0.00108682  0.008329  649.79998779  0.082564    0.00064618  0.007826  612.25000000  0.091919    0.00065826  0.007161  566.05999756  0.443659    0.00273957  0.006175  526.84997559
 26         1048133i.fits  54816.4062  2008  12  16    1.189361  -0.188    14.32  32.0  0.044034    0.00057992  0.013170  880.72998047  0.045250    0.00055395  0.000554  868.90002441  0.054145    0.00053601  0.009900  769.94000244  0.029879    0.00026580  0.008896  732.65002441  0.023149    0.00019599  0.008467  701.66998291  0.054400    0.00041242  0.007581  670.83502197  0.140341    0.00108576  0.007737  649.79998779  0.083184    0.00059858  0.007196  612.25000000  0.088088    0.00056734  0.006441  566.05999756  0.448187    0.00258938  0.005777  526.84997559
 27         1048134i.fits  54816.4180  2008  12  16    0.294266   1.328     0.00  16.0  0.052642    0.00017193  0.003266  880.72998047  0.045606    0.00013502  0.000135  868.90002441  0.046642    0.00011299  0.002422  769.94000244  0.028056    0.00006347  0.002262  732.65002441  0.022848    0.00004848  0.002122  701.66998291  0.045415    0.00009023  0.001987  670.83502197  0.133148    0.00026359  0.001980  649.79998779  0.072316    0.00013464  0.001862  612.25000000  0.109517    0.00019699  0.001799  566.05999756  0.432952    0.00066841  0.001544  526.84997559
 28         1048327i.fits  54817.3672  2008  12  17    3.283135  -1.291    13.30  53.0  0.041899    0.00150095  0.035823  880.72998047  0.044223    0.00147432  0.001474  868.90002441  0.054173    0.00148652  0.027441  769.94000244  0.030357    0.00077520  0.025536  732.65002441  0.025470    0.00061574  0.024175  701.66998291  0.052008    0.00109078  0.020973  670.83502197  0.120952    0.00267922  0.022151  649.79998779  0.080567    0.00169229  0.021005  612.25000000  0.079647    0.00152806  0.019185  566.05999756  0.394942    0.00683040  0.017295  526.84997559
 29         1048328i.fits  54817.3828  2008  12  17    1.442278  -0.398    14.09  36.0  0.045356    0.00071260  0.015711  880.72998047  0.045222    0.00066690  0.000667  868.90002441  0.053617    0.00064491  0.012028  769.94000244  0.029222    0.00032443  0.011102  732.65002441  0.026408    0.00027801  0.010528  701.66998291  0.052286    0.00048045  0.009189  670.83502197  0.123568    0.00119180  0.009645  649.79998779  0.079249    0.00071867  0.009068  612.25000000  0.084582    0.00071381  0.008439  566.05999756  0.409007    0.00310530  0.007592  526.84997559
 30         1048329i.fits  54817.3984  2008  12  17    5.105952  -1.770    12.87  66.0  0.043161    0.00241515  0.055957  880.72998047  0.042990    0.00222993  0.002230  868.90002441  0.053233    0.00226330  0.042517  769.94000244  0.030568    0.00120935  0.039563  732.65002441  0.025412    0.00094992  0.037381  701.66998291  0.049563    0.00161800  0.032645  670.83502197  0.126817    0.00437826  0.034524  649.79998779  0.079331    0.00257276  0.032431  612.25000000  0.080011    0.00237894  0.029733  566.05999756  0.397819    0.01075302  0.027030  526.84997559
 31         1048330i.fits  54817.4141  2008  12  17    5.432538  -1.838    12.81  68.0  0.042733    0.00254665  0.059594  880.72998047  0.042978    0.00238928  0.002389  868.90002441  0.052337    0.00236709  0.045228  769.94000244  0.031040    0.00130680  0.042101  732.65002441  0.025308    0.00100798  0.039829  701.66998291  0.052172    0.00180266  0.034552  670.83502197  0.128530    0.00473090  0.036808  649.79998779  0.079592    0.00274377  0.034473  612.25000000  0.082034    0.00259967  0.031690  566.05999756  0.394345    0.01126558  0.028568  526.84997559
 32         1048499i.fits  54818.3633  2008  12  18    3.948644  -1.491    13.26  56.0  0.043894    0.00194999  0.044425  880.72998047  0.042013    0.00171893  0.001719  868.90002441  0.052620    0.00170037  0.032314  769.94000244  0.032904    0.00098929  0.030066  732.65002441  0.027318    0.00077145  0.028240  701.66998291  0.052898    0.00125338  0.023694  670.83502197  0.129669    0.00328239  0.025314  649.79998779  0.084115    0.00196829  0.023400  612.25000000  0.081304    0.00170787  0.021006  566.05999756  0.419889    0.00780925  0.018598  526.84997559
 33         1048500i.fits  54818.3789  2008  12  18    4.096677  -1.531    13.21  57.0  0.043494    0.00199881  0.045956  880.72998047  0.042650    0.00181119  0.001811  868.90002441  0.053272    0.00179230  0.033644  769.94000244  0.032243    0.00100414  0.031143  732.65002441  0.026220    0.00076039  0.029000  701.66998291  0.053746    0.00132608  0.024673  670.83502197  0.121496    0.00318896  0.026247  649.79998779  0.083618    0.00205353  0.024558  612.25000000  0.080818    0.00177391  0.021950  566.05999756  0.420265    0.00817373  0.019449  526.84997559
 34         1048501i.fits  54818.3945  2008  12  18    4.068310  -1.524    13.21  57.0  0.045383    0.00206973  0.045606  880.72998047  0.043418    0.00183377  0.001834  868.90002441  0.053453    0.00177808  0.033264  769.94000244  0.031492    0.00096634  0.030686  732.65002441  0.026851    0.00077527  0.028873  701.66998291  0.052825    0.00129654  0.024544  670.83502197  0.129264    0.00337966  0.026145  649.79998779  0.082839    0.00201383  0.024310  612.25000000  0.076628    0.00164718  0.021496  566.05999756  0.412328    0.00794129  0.019260  526.84997559
 35         1048502i.fits  54818.4102  2008  12  18    3.934031  -1.487    13.25  56.0  0.045216    0.00200588  0.044362  880.72998047  0.042875    0.00175622  0.001756  868.90002441  0.053751    0.00173930  0.032359  769.94000244  0.031044    0.00092203  0.029701  732.65002441  0.026212    0.00072885  0.027806  701.66998291  0.053839    0.00128013  0.023777  670.83502197  0.129074    0.00323364  0.025053  649.79998779  0.082993    0.00193541  0.023320  612.25000000  0.083528    0.00176934  0.021183  566.05999756  0.422302    0.00788731  0.018677  526.84997559
 36         1048695i.fits  54819.3633  2008  12  19    2.309716  -0.909    13.90  42.0  0.040428    0.00107224  0.026522  880.72998047  0.043532    0.00107219  0.001072  868.90002441  0.053417    0.00098939  0.018522  769.94000244  0.030354    0.00051497  0.016966  732.65002441  0.024945    0.00039399  0.015794  701.66998291  0.051885    0.00067557  0.013021  670.83502197  0.127519    0.00176007  0.013802  649.79998779  0.082974    0.00104540  0.012599  612.25000000  0.082301    0.00091560  0.011125  566.05999756  0.417839    0.00401051  0.009598  526.84997559
 37         1048696i.fits  54819.3789  2008  12  19    1.955341  -0.728    14.08  38.0  0.040996    0.00093097  0.022709  880.72998047  0.040697    0.00084031  0.000840  868.90002441  0.053828    0.00083944  0.015595  769.94000244  0.031270    0.00044511  0.014234  732.65002441  0.023744    0.00031306  0.013185  701.66998291  0.052920    0.00057594  0.010883  670.83502197  0.126144    0.00145085  0.011501  649.79998779  0.082650    0.00086211  0.010431  612.25000000  0.082131    0.00074985  0.009130  566.05999756  0.425328    0.00339559  0.007983  526.84997559
 38         1048697i.fits  54819.3945  2008  12  19    2.114252  -0.813    13.98  40.0  0.041509    0.00101588  0.024474  880.72998047  0.043808    0.00098618  0.000986  868.90002441  0.051663    0.00086808  0.016803  769.94000244  0.030124    0.00047047  0.015618  732.65002441  0.025021    0.00036241  0.014484  701.66998291  0.051337    0.00061248  0.011931  670.83502197  0.131194    0.00165852  0.012642  649.79998779  0.084725    0.00098145  0.011584  612.25000000  0.087151    0.00089138  0.010228  566.05999756  0.410194    0.00360612  0.008791  526.84997559
 39         1048698i.fits  54819.4102  2008  12  19    2.133235  -0.823    13.98  40.0  0.041946    0.00104184  0.024838  880.72998047  0.041380    0.00093739  0.000937  868.90002441  0.052703    0.00089742  0.017028  769.94000244  0.030454    0.00047411  0.015568  732.65002441  0.024233    0.00035088  0.014479  701.66998291  0.051317    0.00061583  0.012000  670.83502197  0.134989    0.00171210  0.012683  649.79998779  0.085582    0.00099310  0.011604  612.25000000  0.082740    0.00083383  0.010078  566.05999756  0.423613    0.00373323  0.008813  526.84997559
 40         1048903i.fits  54820.3633  2008  12  20    1.312912  -0.296    14.40  32.0  0.044051    0.00065053  0.014768  880.72998047  0.046385    0.00062969  0.000630  868.90002441  0.058624    0.00061385  0.010471  769.94000244  0.030182    0.00029280  0.009701  732.65002441  0.023883    0.00021780  0.009119  701.66998291  0.054794    0.00040654  0.007419  670.83502197  0.135601    0.00107303  0.007913  649.79998779  0.084884    0.00060877  0.007172  612.25000000  0.090711    0.00057423  0.006330  566.05999756  0.456177    0.00248217  0.005441  526.84997559
 41         1048904i.fits  54820.3789  2008  12  20    2.822655  -1.127    13.65  46.0  0.045855    0.00146911  0.032038  880.72998047  0.043266    0.00127172  0.001272  868.90002441  0.056603    0.00127159  0.022465  769.94000244  0.030483    0.00064078  0.021021  732.65002441  0.024692    0.00048983  0.019837  701.66998291  0.056040    0.00090755  0.016195  670.83502197  0.126781    0.00218359  0.017223  649.79998779  0.085032    0.00135016  0.015878  612.25000000  0.088688    0.00126202  0.014230  566.05999756  0.443211    0.00551799  0.012450  526.84997559
 42         1048905i.fits  54820.3945  2008  12  20    3.832513  -1.459    13.35  54.0  0.046318    0.00201009  0.043398  880.72998047  0.044263    0.00174967  0.001750  868.90002441  0.057055    0.00174564  0.030596  769.94000244  0.029936    0.00085410  0.028531  732.65002441  0.023467    0.00062996  0.026845  701.66998291  0.055967    0.00123146  0.022003  670.83502197  0.129751    0.00304304  0.023453  649.79998779  0.085459    0.00186372  0.021808  612.25000000  0.085461    0.00164044  0.019195  566.05999756  0.435613    0.00737484  0.016930  526.84997559
 43         1048906i.fits  54820.4062  2008  12  20    3.930788  -1.486    13.32  54.0  0.045916    0.00205449  0.044745  880.72998047  0.044587    0.00181814  0.001818  868.90002441  0.056581    0.00177479  0.031367  769.94000244  0.030202    0.00087980  0.029130  732.65002441  0.023618    0.00065187  0.027600  701.66998291  0.055635    0.00125544  0.022566  670.83502197  0.130879    0.00316383  0.024174  649.79998779  0.085445    0.00189429  0.022170  612.25000000  0.087237    0.00172720  0.019799  566.05999756  0.439771    0.00773706  0.017593  526.84997559
 44         1049991i.fits  54838.2539  2009   1   7    4.215925  -1.562    13.16  58.0  0.047323    0.00221742  0.046857  880.72998047  0.047574    0.00206823  0.002068  868.90002441  0.056717    0.00192792  0.033992  769.94000244  0.030598    0.00097548  0.031881  732.65002441  0.024022    0.00072690  0.030260  701.66998291  0.057179    0.00144541  0.025279  670.83502197  0.143320    0.00386814  0.026989  649.79998779  0.087817    0.00217585  0.024777  612.25000000  0.089522    0.00199109  0.022241  566.05999756  0.473560    0.00940631  0.019863  526.84997559
 45         1049992i.fits  54838.2695  2009   1   7    4.321762  -1.589    13.15  59.0  0.047632    0.00229621  0.048208  880.72998047  0.047271    0.00209623  0.002096  868.90002441  0.056971    0.00199680  0.035050  769.94000244  0.032296    0.00106461  0.032964  732.65002441  0.022988    0.00070651  0.030734  701.66998291  0.057473    0.00149106  0.025944  670.83502197  0.140318    0.00389324  0.027746  649.79998779  0.090593    0.00233176  0.025739  612.25000000  0.091454    0.00211268  0.023101  566.05999756  0.468861    0.00951938  0.020303  526.84997559
 46         1049993i.fits  54838.2852  2009   1   7    4.506163  -1.635    13.11  60.0  0.047906    0.00241031  0.050314  880.72998047  0.047309    0.00218142  0.002181  868.90002441  0.057087    0.00208108  0.036454  769.94000244  0.031300    0.00107674  0.034400  732.65002441  0.024539    0.00079632  0.032451  701.66998291  0.057352    0.00155117  0.027046  670.83502197  0.139611    0.00405654  0.029056  649.79998779  0.088395    0.00236924  0.026803  612.25000000  0.093625    0.00228119  0.024365  566.05999756  0.468199    0.00999296  0.021343  526.84997559
 47         1049994i.fits  54838.2969  2009   1   7    4.818916  -1.707    13.03  62.0  0.049403    0.00263702  0.053378  880.72998047  0.048684    0.00240356  0.002404  868.90002441  0.058083    0.00226798  0.039047  769.94000244  0.031158    0.00114387  0.036712  732.65002441  0.023819    0.00082547  0.034656  701.66998291  0.057396    0.00166946  0.029087  670.83502197  0.141277    0.00441604  0.031258  649.79998779  0.089470    0.00260461  0.029112  612.25000000  0.090717    0.00236563  0.026077  566.05999756  0.469424    0.01088542  0.023189  526.84997559
 48         1050359i.fits  54840.2227  2009   1   9    4.198485  -1.558    13.08  60.0  0.048769    0.00222328  0.045588  880.72998047  0.048726    0.00209431  0.002094  868.90002441  0.054551    0.00192538  0.035295  769.94000244  0.030809    0.00100551  0.032637  732.65002441  0.024882    0.00077584  0.031181  701.66998291  0.056596    0.00151067  0.026692  670.83502197  0.136140    0.00383078  0.028139  649.79998779  0.086067    0.00226234  0.026286  612.25000000  0.091868    0.00218552  0.023790  566.05999756  0.462002    0.00988839  0.021403  526.84997559
